"id","make","price","mileage","seller_type"
1000,"Audi",49717,6500,"private"
1001,"Mazda",22031,7000,"private"
1002,"BWM",17742,6000,"dealer"
1003,"Toyota",11768,0,"dealer"
1004,"Mazda",25219,3000,"other"
1005,"Audi",43667,500,"private"
1006,"Renault",47446,7500,"other"
1007,"VW",25633,8000,"private"
1008,"VW",26350,500,"private"
1009,"Audi",40070,2500,"dealer"
1010,"Fiat",41201,1500,"other"
1011,"Toyota",46627,2000,"dealer"
1012,"Audi",10286,3000,"dealer"
1013,"Audi",22121,2000,"dealer"
1014,"Mercedes-Benz",24404,3500,"other"
1015,"Mercedes-Benz",34927,5000,"dealer"
1016,"Audi",20293,7000,"dealer"
1017,"Mazda",37726,3500,"other"
1018,"Renault",33165,3000,"dealer"
1019,"Audi",8249,3500,"dealer"
1020,"Toyota",5678,4500,"other"
1021,"VW",49851,6000,"other"
1022,"Mercedes-Benz",2049,4500,"other"
1023,"Toyota",25835,0,"other"
1024,"Mazda",16082,2500,"dealer"
1025,"Renault",42112,1000,"private"
1026,"Renault",34094,4000,"dealer"
1027,"Mazda",15620,5000,"dealer"
1028,"Fiat",21219,8000,"private"
1029,"Mazda",27992,3500,"private"
1030,"Mercedes-Benz",34927,4000,"other"
1031,"Mercedes-Benz",27501,5000,"private"
1032,"Audi",24791,6500,"private"
1033,"Fiat",4183,1000,"dealer"
1034,"Toyota",45409,7000,"private"
1035,"Mercedes-Benz",21943,8500,"private"
1036,"Renault",44138,9000,"dealer"
1037,"Fiat",14940,7000,"other"
1038,"Renault",24759,2000,"dealer"
1039,"Mercedes-Benz",9786,4000,"dealer"
1040,"Renault",18198,3000,"dealer"
1041,"Mazda",18420,3500,"other"
1042,"Renault",29281,2500,"dealer"
1043,"Mazda",12816,3000,"private"
1044,"Toyota",13551,4500,"dealer"
1045,"Renault",40407,3000,"other"
1046,"Mazda",39654,7000,"dealer"
1047,"Toyota",10450,9000,"other"
1048,"VW",17277,3000,"dealer"
1049,"Mercedes-Benz",37346,4000,"private"
1050,"Mercedes-Benz",44996,8000,"dealer"
1051,"Renault",593,8500,"dealer"
1052,"BWM",45420,7000,"dealer"
1053,"Toyota",35964,6500,"dealer"
1054,"Toyota",42286,8500,"other"
1055,"Audi",38608,8500,"other"
1056,"Fiat",11322,5500,"dealer"
1057,"Mercedes-Benz",10866,9500,"private"
1058,"Mazda",34454,2500,"private"
1059,"Mercedes-Benz",13819,6000,"dealer"
1060,"Fiat",4628,5500,"dealer"
1061,"Renault",5641,7000,"other"
1062,"BWM",15674,5500,"other"
1063,"Audi",30693,1000,"private"
1064,"VW",33391,6500,"private"
1065,"Mazda",2498,2500,"private"
1066,"VW",8960,4000,"other"
1067,"Mercedes-Benz",15312,5000,"dealer"
1068,"Mazda",3609,7500,"dealer"
1069,"Toyota",13011,4000,"dealer"
1070,"Toyota",15919,500,"dealer"
1071,"Mazda",35848,4500,"other"
1072,"Fiat",12339,9000,"other"
1073,"Mercedes-Benz",29751,1500,"other"
1074,"Audi",9513,5000,"other"
1075,"Audi",36845,7000,"dealer"
1076,"Renault",8989,9500,"private"
1077,"Mercedes-Benz",8007,4000,"other"
1078,"Mazda",23033,2500,"other"
1079,"Renault",26301,2500,"dealer"
1080,"Fiat",42909,7500,"dealer"
1081,"Audi",1547,4000,"dealer"
1082,"Renault",36904,7500,"dealer"
1083,"Toyota",20715,500,"other"
1084,"BWM",23609,3500,"private"
1085,"Audi",46614,8500,"private"
1086,"Toyota",22779,7500,"private"
1087,"Toyota",49578,8000,"other"
1088,"Audi",23947,9500,"other"
1089,"Mercedes-Benz",731,9500,"dealer"
1090,"Audi",283,7000,"dealer"
1091,"Renault",47927,5000,"other"
1092,"Fiat",8262,2500,"other"
1093,"Audi",25818,2000,"other"
1094,"Audi",32904,7000,"dealer"
1095,"Fiat",41177,3500,"private"
1096,"Mazda",14495,2000,"dealer"
1097,"Renault",31201,6000,"dealer"
1098,"Toyota",11345,3500,"private"
1099,"BWM",5914,8500,"dealer"
1100,"Toyota",34381,4500,"dealer"
1101,"Renault",7771,1500,"dealer"
1102,"Mazda",11022,4500,"dealer"
1103,"Audi",22045,8500,"private"
1104,"Fiat",13691,3500,"private"
1105,"VW",27919,4000,"private"
1106,"Toyota",4908,3500,"dealer"
1107,"VW",4261,500,"private"
1108,"BWM",43918,3000,"dealer"
1109,"Audi",24906,0,"dealer"
1110,"Mercedes-Benz",48151,3500,"dealer"
1111,"Audi",34046,4500,"dealer"
1112,"Mercedes-Benz",22623,6500,"other"
1113,"BWM",39436,2000,"dealer"
1114,"Audi",22751,5000,"dealer"
1115,"Audi",38022,500,"private"
1116,"Mazda",36829,1500,"dealer"
1117,"Mazda",12598,7000,"dealer"
1118,"Audi",38382,2000,"private"
1119,"BWM",8275,3000,"other"
1120,"Mercedes-Benz",37202,7500,"dealer"
1121,"Toyota",48729,5500,"private"
1122,"Audi",40481,2000,"other"
1123,"VW",39077,7000,"dealer"
1124,"Toyota",25670,3500,"other"
1125,"Renault",16985,6000,"other"
1126,"Toyota",26153,500,"private"
1127,"Renault",9233,0,"dealer"
1128,"VW",49342,5500,"dealer"
1129,"Audi",29343,5000,"dealer"
1130,"Toyota",32520,1000,"dealer"
1131,"VW",32327,500,"other"
1132,"Mercedes-Benz",34490,7000,"dealer"
1133,"Mercedes-Benz",38908,2500,"other"
1134,"Mercedes-Benz",2954,8500,"dealer"
1135,"Mazda",34597,2500,"dealer"
1136,"BWM",18821,6500,"other"
1137,"Audi",32098,2000,"other"
1138,"Toyota",13986,8000,"other"
1139,"Renault",22342,3500,"private"
1140,"Renault",1980,1500,"other"
1141,"VW",781,4000,"dealer"
1142,"Toyota",43043,9500,"dealer"
1143,"Mercedes-Benz",27210,7500,"other"
1144,"Mercedes-Benz",25467,2000,"private"
1145,"Fiat",169,3000,"dealer"
1146,"Mercedes-Benz",26377,5500,"other"
1147,"Audi",19280,5500,"private"
1148,"Audi",43895,3000,"dealer"
1149,"Renault",19578,1500,"dealer"
1150,"Mazda",42533,6000,"dealer"
1151,"Toyota",36993,3000,"dealer"
1152,"Fiat",23145,5000,"private"
1153,"Audi",8816,8000,"dealer"
1154,"Renault",34595,8000,"other"
1155,"Audi",42258,8500,"dealer"
1156,"Toyota",39732,2000,"private"
1157,"Renault",49627,9500,"other"
1158,"BWM",1172,2500,"other"
1159,"Toyota",44847,6500,"other"
1160,"Mercedes-Benz",13836,3000,"private"
1161,"Toyota",35621,3000,"dealer"
1162,"Mazda",3360,6500,"dealer"
1163,"Audi",46678,4000,"dealer"
1164,"Audi",24786,7000,"dealer"
1165,"Fiat",42864,5000,"dealer"
1166,"VW",29235,7500,"private"
1167,"Mercedes-Benz",4397,3500,"private"
1168,"Renault",39156,7000,"private"
1169,"Toyota",1520,5500,"other"
1170,"Mercedes-Benz",23955,8500,"dealer"
1171,"VW",25378,10000,"dealer"
1172,"Toyota",47046,9500,"dealer"
1173,"Toyota",30622,500,"other"
1174,"Mercedes-Benz",37981,1000,"private"
1175,"VW",32871,7000,"dealer"
1176,"Audi",5103,4500,"dealer"
1177,"VW",47658,2000,"private"
1178,"BWM",44877,6000,"private"
1179,"VW",24072,7500,"dealer"
1180,"Mercedes-Benz",46501,0,"dealer"
1181,"Renault",8933,3500,"other"
1182,"Mercedes-Benz",5214,6500,"other"
1183,"Mercedes-Benz",4118,8000,"other"
1184,"Toyota",26666,10000,"dealer"
1185,"VW",39426,1500,"dealer"
1186,"Fiat",28237,9000,"dealer"
1187,"Mercedes-Benz",5316,8000,"dealer"
1188,"BWM",25554,6500,"other"
1189,"Toyota",31080,9000,"other"
1190,"Renault",41948,2000,"dealer"
1191,"VW",1708,0,"private"
1192,"Renault",1594,2000,"other"
1193,"BWM",24495,4500,"dealer"
1194,"Mercedes-Benz",34012,6500,"dealer"
1195,"Toyota",29360,2500,"dealer"
1196,"Mercedes-Benz",29191,500,"other"
1197,"Mazda",40281,4500,"dealer"
1198,"Audi",39961,2000,"dealer"
1199,"Audi",26739,9000,"other"
1200,"Renault",45184,2000,"dealer"
1201,"Renault",8973,9500,"other"
1202,"Toyota",15512,9000,"private"
1203,"VW",20083,2500,"dealer"
1204,"Toyota",36895,3500,"other"
1205,"VW",27611,2500,"dealer"
1206,"Audi",41476,8500,"dealer"
1207,"Mazda",2920,8500,"dealer"
1208,"BWM",19596,7000,"private"
1209,"Renault",3109,9500,"private"
1210,"VW",42555,1000,"private"
1211,"Mercedes-Benz",37325,10000,"dealer"
1212,"Mazda",26517,5000,"dealer"
1213,"Audi",33258,7000,"dealer"
1214,"Toyota",19190,3500,"dealer"
1215,"Mazda",48868,500,"other"
1216,"Fiat",31127,5000,"dealer"
1217,"Mercedes-Benz",38765,0,"private"
1218,"Mazda",42629,5000,"dealer"
1219,"Mercedes-Benz",33301,9500,"private"
1220,"Fiat",16315,3000,"other"
1221,"VW",48223,3500,"dealer"
1222,"Mazda",37391,6500,"other"
1223,"Mazda",8953,6500,"other"
1224,"Mercedes-Benz",3548,3000,"other"
1225,"Renault",46639,7000,"other"
1226,"Renault",5394,9000,"dealer"
1227,"Fiat",20988,500,"dealer"
1228,"Toyota",12083,2500,"other"
1229,"VW",5741,7500,"other"
1230,"Fiat",32869,2500,"private"
1231,"Renault",34111,4500,"dealer"
1232,"Toyota",1114,5000,"private"
1233,"Audi",16250,4000,"other"
1234,"Mercedes-Benz",31889,9000,"dealer"
1235,"Mercedes-Benz",5847,5500,"dealer"
1236,"Mercedes-Benz",22684,3500,"other"
1237,"BWM",38264,10000,"private"
1238,"Toyota",35422,6000,"private"
1239,"Audi",5238,3000,"private"
1240,"BWM",21131,3000,"dealer"
1241,"Fiat",37559,10000,"other"
1242,"Mercedes-Benz",42212,8500,"dealer"
1243,"Fiat",47303,2000,"private"
1244,"Mazda",38397,2000,"other"
1245,"Fiat",42937,6500,"other"
1246,"Renault",44434,7000,"other"
1247,"Mazda",12951,5500,"dealer"
1248,"VW",12082,8000,"dealer"
1249,"Mazda",35783,8500,"other"
1250,"Renault",8446,5000,"dealer"
1251,"Toyota",37507,2000,"other"
1252,"VW",31741,1000,"dealer"
1253,"VW",7724,6000,"dealer"
1254,"Toyota",12179,8000,"other"
1255,"Mercedes-Benz",1558,3000,"dealer"
1256,"VW",21036,8500,"private"
1257,"Mercedes-Benz",2357,8000,"dealer"
1258,"Mazda",44776,1000,"dealer"
1259,"Fiat",17784,2500,"other"
1260,"BWM",1691,1000,"private"
1261,"Mercedes-Benz",38573,7500,"dealer"
1262,"Renault",43778,8000,"dealer"
1263,"Renault",952,6000,"dealer"
1264,"BWM",35913,1500,"private"
1265,"Fiat",9147,6500,"private"
1266,"Renault",33493,6000,"private"
1267,"BWM",39902,6000,"dealer"
1268,"Fiat",6955,6500,"private"
1269,"VW",11818,1500,"dealer"
1270,"Toyota",13925,9500,"other"
1271,"Mercedes-Benz",47165,6500,"private"
1272,"Toyota",43327,2000,"private"
1273,"Toyota",27648,7000,"other"
1274,"Mazda",10639,9000,"other"
1275,"Mazda",15705,7000,"other"
1276,"Renault",46879,3500,"private"
1277,"Toyota",4745,7000,"dealer"
1278,"Audi",48593,5500,"dealer"
1279,"Toyota",46376,5500,"other"
1280,"BWM",12529,6000,"private"
1281,"Mazda",376,9500,"other"
1282,"VW",3682,8500,"private"
1283,"Mazda",15668,5000,"dealer"
1284,"Renault",38361,1000,"other"
1285,"Fiat",28621,2000,"private"
1286,"BWM",23002,2000,"dealer"
1287,"Mercedes-Benz",46499,3000,"other"
1288,"VW",48205,4500,"other"
1289,"Mercedes-Benz",32480,9500,"dealer"
1290,"Audi",43005,7000,"other"
1291,"Toyota",23170,500,"dealer"
1292,"Mazda",42531,6500,"private"
1293,"Renault",7656,4000,"private"
1294,"Mercedes-Benz",5682,4000,"dealer"
1295,"Mazda",12095,3500,"private"
1296,"Mazda",46615,3500,"other"
1297,"Toyota",7478,5500,"private"
1298,"Mazda",15989,6500,"dealer"
1299,"Fiat",19832,8000,"private"
